datapath,in_port,eth_src,eth_dst,ip_src,ip_dst,protocol,tcp_src,tcp_dst,packet_count,byte_count,duration_sec,duration_nsec,class_label
1,0,,,,,0,0,0,301,37140,1,317000000,0
3,0,,,,,0,0,0,160,19444,1,297000000,0
10,0,,,,,0,0,0,170,20653,1,195000000,0
9,0,,,,,0,0,0,152,18011,1,214000000,0
5,0,,,,,0,0,0,180,22075,1,273000000,0
7,0,,,,,0,0,0,181,22888,1,244000000,0
2,0,,,,,0,0,0,296,35574,1,310000000,0
10,0,,,,,0,0,0,394,51968,11,192000000,0
1,0,,,,,0,0,0,668,88436,11,313000000,0
3,0,,,,,0,0,0,375,49004,11,294000000,0
2,0,,,,,0,0,0,672,88796,11,306000000,0
9,0,,,,,0,0,0,360,46384,11,210000000,0
5,0,,,,,0,0,0,404,54182,11,269000000,0
7,0,,,,,0,0,0,407,54444,11,241000000,0
1,0,,,,,0,0,0,772,98908,21,315000000,0
2,0,,,,,0,0,0,776,99268,21,306000000,0
9,0,,,,,0,0,0,416,51900,21,210000000,0
5,0,,,,,0,0,0,466,60517,21,270000000,0
3,0,,,,,0,0,0,433,54793,21,298000000,0
10,0,,,,,0,0,0,455,58100,21,196000000,0
7,0,,,,,0,0,0,469,60779,21,241000000,0
1,0,,,,,0,0,0,833,103178,31,317000000,0
10,0,,,,,0,0,0,491,60620,31,196000000,0
3,0,,,,,0,0,0,464,56963,31,298000000,0
7,0,,,,,0,0,0,504,63229,31,244000000,0
5,0,,,,,0,0,0,501,62967,31,273000000,0
9,0,,,,,0,0,0,448,54140,31,214000000,0
2,0,,,,,0,0,0,833,103258,31,310000000,0
1,0,,,,,0,0,0,876,109380,41,322000000,0
3,0,,,,,0,0,0,491,60582,41,302000000,0
10,0,,,,,0,0,0,516,64232,41,201000000,0
2,0,,,,,0,0,0,880,109740,41,315000000,0
9,0,,,,,0,0,0,472,57416,41,219000000,0
7,0,,,,,0,0,0,531,67114,41,250000000,0
5,0,,,,,0,0,0,528,66852,41,278000000,0
1,0,,,,,0,0,0,876,109380,51,326000000,0
3,0,,,,,0,0,0,491,60582,51,306000000,0
10,0,,,,,0,0,0,516,64232,51,204000000,0
9,0,,,,,0,0,0,472,57416,51,221000000,0
2,0,,,,,0,0,0,880,109740,51,318000000,0
5,0,,,,,0,0,0,528,66852,51,280000000,0
7,0,,,,,0,0,0,531,67114,51,251000000,0
1,0,,,,,0,0,0,913,111970,61,329000000,0
10,0,,,,,0,0,0,539,65842,61,208000000,0
3,0,,,,,0,0,0,511,61982,61,309000000,0
2,0,,,,,0,0,0,915,112190,61,323000000,0
5,0,,,,,0,0,0,550,68392,61,286000000,0
9,0,,,,,0,0,0,492,58816,61,227000000,0
7,0,,,,,0,0,0,555,68794,61,257000000,0
1,0,,,,,0,0,0,978,119712,71,332000000,0
10,0,,,,,0,0,0,576,70294,71,211000000,0
3,0,,,,,0,0,0,547,66231,71,312000000,0
9,0,,,,,0,0,0,527,62862,71,229000000,0
5,0,,,,,0,0,0,588,73047,71,287000000,0
2,0,,,,,0,0,0,980,119932,71,325000000,0
7,0,,,,,0,0,0,592,73379,71,259000000,0
9,0,,,,,0,0,0,528,62932,81,234000000,0
1,0,,,,,0,0,0,980,119852,81,338000000,0
3,0,,,,,0,0,0,549,66371,81,318000000,0
2,0,,,,,0,0,0,984,120212,81,330000000,0
5,0,,,,,0,0,0,590,73187,81,293000000,0
10,0,,,,,0,0,0,577,70364,81,220000000,0
7,0,,,,,0,0,0,593,73449,81,265000000,0
10,0,,,,,0,0,0,577,70364,91,223000000,0
1,0,,,,,0,0,0,980,119852,91,344000000,0
2,0,,,,,0,0,0,984,120212,91,337000000,0
9,0,,,,,0,0,0,528,62932,91,240000000,0
3,0,,,,,0,0,0,549,66371,91,325000000,0
7,0,,,,,0,0,0,593,73449,91,271000000,0
5,0,,,,,0,0,0,590,73187,91,299000000,0
1,0,,,,,0,0,0,980,119852,101,349000000,0
7,0,,,,,0,0,0,593,73449,101,275000000,0
3,0,,,,,0,0,0,549,66371,101,329000000,0
